light maxmum times
BJD 2457000+ cycle	o-c£¨d£©	error

superoutburst a
-----------------------------------------
2058.54960    0	 0.000000 	3.90E-04
2058.62614 	  1	 0.001180 	2.60E-04
2058.70100 	  2	 0.000917 	2.40E-04
2058.77784 	  3	 0.002640 	2.40E-04
2058.85441 	  4	 0.004090 	3.70E-04
2058.93048 	  5	 0.005040 	5.30E-04
2059.00496 	  6	 0.004400 	2.00E-04
2059.08153 	  7	 0.005860 	5.30E-04
2059.15736 	  8	 0.006560 	6.10E-04
2059.23257 	  9	 0.006650 	0.00104
2059.30751 	 10	 0.006470 	5.40E-04
2059.38281 	 11	 0.006660 	0.00132
2059.45813 	 12	 0.006860 	7.30E-04
2059.53319 	 13	 0.006800 	7.50E-04
2059.60786 	 14	 0.006350 	8.40E-04
2059.68205 	 15	 0.005420 	4.20E-04
2059.75783 	 16	 0.006080 	0.00115
2059.83293 	 17	 0.006060 	0.00101
2059.90792 	 18	 0.005930 	0.00112
2059.98206 	 19	 0.004950 	5.50E-04
2060.05797 	 20	 0.005740 	8.80E-04
2060.13340 	 21	 0.006050 	7.50E-04
2060.20790 	 22	 0.005430 	7.10E-04
------------------------------------

superoutburst b
------------------------------------
2381.48810 	0	0.00000 	0.000490 
2381.56077 	1	-0.00245 	0.000620 
2381.64353 	2	0.00519 	0.000620 
2381.72069 	3	0.00723 	0.002750 
2381.79805 	4	0.00947 	0.004940 
2381.87590 	5	0.01220 	0.003540 
2381.95106 	6	0.01224 	0.010730 
2382.02662 	7	0.01268 	0.001840 
2382.10397 	8	0.01491 	0.004630 
2382.17884 	9	0.01466 	0.009180 
2382.25469 	10	0.01539 	0.001270 
2382.32954 	11	0.01512 	0.004210 
2382.40501 	12	0.01548 	0.003400 
2382.48043 	13	0.01578 	0.001000 
2382.55579 	14	0.01602 	0.001990 
2382.63106 	15	0.01616 	0.000960 
2382.70602 	16	0.01600 	0.000940 
2382.78216 	17	0.01703 	0.000650 
2382.85616 	18	0.01591 	0.001260 
2382.93068 	19	0.01531 	0.001450 
2383.00601 	20	0.01552 	0.000760 
2383.08132 	21	0.01571 	0.001050 
2383.15640 	22	0.01567 	0.001450 
2383.23160 	23	0.01575 	0.000710 
2383.30655 	24	0.01558 	0.000520 
2383.38134 	25	0.01525 	0.000640 
2383.45616 	26	0.01495 	0.000990 
2383.52993 	27	0.01360 	0.001280 
2383.60630 	28	0.01485 	0.000500 
2383.67991 	29	0.01334 	0.001520 
2383.75501 	30	0.01332 	0.000580 
2383.82990 	31	0.01310 	0.001140 
2383.90544 	32	0.01351 	0.000710 
2383.97882 	33	0.01178 	0.000750 
2384.05428 	34	0.01211 	0.001670 
2384.13098 	35	0.01370 	0.000280 
2384.20526 	36	0.01285 	0.001340 
2384.27911 	37	0.01159 	0.002010 
2384.35461 	38	0.01197 	0.003270 
2384.42838 	39	0.01062 	0.003420 
2384.50445 	40	0.01157 	0.002350 
2384.58028 	41	0.01228 	0.004160 
2384.65360 	42	0.01048 	0.009440 
2384.72849 	43	0.01025 	0.002120 
2384.80373 	44	0.01038 	0.001750 
2384.87905 	45	0.01057 	0.002070 
2384.95238 	46	0.00878 	0.005980 
2385.02729 	47	0.00857 	0.010130 
2385.10160 	48	0.00776 	0.002230 
2385.17594 	49	0.00698 	0.001210 
2385.25088 	50	0.00681 	0.001550 
2385.32583 	51	0.00663 	0.000340 
2385.40169 	52	0.00737 	0.000420 
2385.47621 	53	0.00678 	0.000990 
2385.55065 	54	0.00610 	0.000820 
2385.62541 	55	0.00574 	0.000680 
2385.69985 	56	0.00505 	0.000360 
2385.77555 	57	0.00564 	0.000580 
2385.85054 	58	0.00551 	0.000850 
2385.92378 	59	0.00363 	0.000320 
2386.00119 	60	0.00592 	0.000180 
2386.07338 	61	0.00299 	0.000150 
2386.14992 	62	0.00441 	0.000260 
2386.22485 	63	0.00422 	0.000470 
2386.29869 	64	0.00294 	0.000390 
2386.37681 	65	0.00595 	0.000690 
2386.44804 	66	0.00206 	0.000430 
2386.52442 	67	0.00331 	0.000360 
2386.59858 	68	0.00235 	0.000480 
2386.67170 	69	0.00035 	0.000220 
2386.74535 	70	-0.00112 	0.000340 
2386.82508 	71	0.00349 	0.000550 
2386.89574 	72	-0.00096 	0.000350 
2386.97341 	73	0.00159 	0.000510 
2387.04736 	74	0.00041 	0.000360 
2387.12352 	75	0.00146 	0.000390 
2387.19600 	76	-0.00118 	0.000280 
2387.26974 	77	-0.00256 	0.000220 
2387.34460 	78	-0.00282 	0.000490 
2387.41966 	79	-0.00288 	0.000300 
2387.49504 	80	-0.00262 	0.000380 
2387.57183 	81	-0.00095 	0.000310 
2387.64272 	82	-0.00518 	0.000770 
2387.72064 	83	-0.00238 	0.000810 
2387.79757 	84	-0.00057 	0.000390 
2387.86866 	85	-0.00460 	0.001610 
2387.94151 	86	-0.00687 	0.004380 
2388.01732 	87	-0.00618 	0.008100 
2388.08984 	88	-0.00878 	0.006060 
2388.16778 	89	-0.00596 	0.001250 
2388.24123 	90	-0.00763 	0.003170 
2388.31586 	91	-0.00811 	0.000840 
2388.39109 	92	-0.00801 	0.001930 
2388.46520 	93	-0.00901 	0.000660 
2388.53802 	94	-0.01131 	0.000220 
2388.61263 	95	-0.01182 	0.000260 
2388.68798 	96	-0.01159 	0.000830 
2388.76076 	97	-0.01393 	0.000340 
2388.83706 	98	-0.01275 	0.000850 
2388.91052 	99	-0.01442 	0.002230 
2388.98664 	100	-0.01341 	0.001830 
2389.05810 	101	-0.01707 	0.001280 
2389.13244 	102	-0.01785 	0.002540 
2389.21012 	103	-0.01529 	0.003720 
2389.28343 	104	-0.01710 	0.001700 
2389.35451 	105	-0.02114 	0.001130 
2389.42716 	106	-0.02361 	0.000290 
2389.50756 	107	-0.01833 	0.000960 
2389.57728 	108	-0.02373 	0.001340 
2389.65362 	109	-0.02251 	0.000480 
--------------------------------------
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
